Achira (Canna, Arrowroot) | Scientific Names: Canna edulis | Family: Cannaceae
Acorn Squash (Similar plants:pumpkin, zucchini) | Scientific Names: Cucurbita pepo | Family: Cucurbitaceae
African Daisy (Barberton Daisy, Veldt Daisy, Transvaal Daisy, Gerber Daisy) | Scientific Names: Gerbera jamesonii | Family: Compositae
African Violet (Cape Marigold) | Scientific Names: Saintpaulia spp. | Family: Gesneriaceae
Algaroba (Kiawe, Mesquite) | Scientific Names: Prosopis limensis | Family: Mimosaceae
Aluminum Plant (Watermelon Plant) | Scientific Names: Pilea cadieri | Family: Urticaceae
Alumroot (Coral Bells, Heuchera) | Scientific Names: Heuchera sanguinea | Family: Saxifragaceae
Alyssum (Alyssum varieties) | Scientific Names: Alyssum spp. | Family: Brassicaceae
American Rubber Plant (Pepper Face, Baby Rubber Plant) | Scientific Names: Peperomia obtusifolia | Family: Pipericeae
Amur Maple (Maple, Amur) | Scientific Names: Acer ginnala | Family: Aceraceae
Anthericum Comosum (Ribbon Plant, Spider Plant, Spider Ivy) | Scientific Names: Chlorophytum comosum | Family: Liliaceae
Antirrhinum Multiflorum (Withered Snapdragon) | Scientific Names: Antirrhinum multiflorum | Family: Scrophulariaceae
Antirrhinum Multiflorum (Withered Snapdragon) | Scientific Names: Antirrhinum glandulosum | Family: Scrophulariaceae
Arabian Gentian (Persian Violet, German Violet) | Scientific Names: Exacum affine | Family:
Areca Palm (Golden Butterfly Palm, Cane Palm, Golden Feather Palm, Yellow Palm) | Scientific Names: Dypsis lutescens | Family: Palmae
Aregelia (Crimson cup, Marbled fingernail,Blushing bromeliad, Ossifragi Vase, Miniature Marble plant) | Scientific Names: Neoregalia spp. | Family: Bromiliaceae
Artillery Plant () | Scientific Names: Pilea microphylla | Family: Urticaceae
Aspidium falcatum (Fern Holly, Japanese Holly, Fish Tail) | Scientific Names: Cyrtomium falcatum | Family: Polypodiaceae
Autumn Olive (Silver Berry, Russian Olive) | Scientific Names: Elaeagnus sp. | Family: Elaeagnaceae
Baby Rubber Plant (Pepper Face, American Rubber Plant) | Scientific Names: Peperomia obtusifolia | Family: Pipericeae
Baby’s Tears (Polka Dot Plant, Measles Plant, Flamingo Plant, Freckle Face, Pink Splash) | Scientific Names: Hypoestes phyllostachya | Family: Acanthaceae
Bachelors Buttons (Cornflower, Bluebottle) | Scientific Names: Centaurea cyanus | Family: Asteraceae
Ball Fern (Rabbit's Foot Fern, Squirrel Foot Fern, Deer Foot Fern, Hare Fern) | Scientific Names: Davallia spp. | Family: Polypodiaceae
Bamboo (Golden Bamboo, Fishpole Bamboo) | Scientific Names: Phyllostachys aurea | Family: Gramineae
Bamboo Palm (Miniature Fish Tail Dwarf Palm, Parlor Palm, Good Luck Palm) | Scientific Names: Chamaedorea elegans | Family: Palmae
Bamboo Vine (Blaspheme vine, Laurel-leaved Greenbrier) | Scientific Names: Smilax laurifolia | Family: Liliaceae
Banana (Plantain) | Scientific Names: Musa acuminata | Family: Musaceae
